"","midpoint","median","mean","p25","p75","p10","p90","p5","p95","count"
"1",5e+05,1,1,1,1,1,1,1,1,2
"2",1e+06,1,1,1,1,1,1,1,1,1
"3",1500000,1,1,1,1,1,1,1,1,4
"4",2e+06,1,1,1,1,1,1,1,1,4
"5",2500000,1,1,1,1,1,1,1,1,28
"6",3500000,0.59222633744856,0.59222633744856,0.59222633744856,0.59222633744856,0.59222633744856,0.59222633744856,0.59222633744856,0.59222633744856,1
"7",4e+06,0.546420245323046,0.546420245323046,0.503567765019165,0.589272725626927,0.477856276836837,0.614984213809255,0.469285780776061,0.623554709870031,2
"8",4500000,1,1,1,1,1,1,1,1,2
"9",5e+06,1,1,1,1,1,1,1,1,113
"10",5500000,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,0.346666666666667,1
"11",7e+06,1,1,1,1,1,1,1,1,1
"12",7500000,1,0.800474715454034,0.572434191057945,1,0.421846140582314,1,0.405703845059032,1,46
"13",9e+06,0.195388888888889,0.195388888888889,0.195388888888889,0.195388888888889,0.195388888888889,0.195388888888889,0.195388888888889,0.195388888888889,1
"14",1e+07,0.421398022261932,0.566682760347075,0.342224086622562,1,0.231592856587745,1,0.221400798753064,1,12
"15",1.2e+07,1,1,1,1,1,1,1,1,7
"16",12500000,1,0.826758412940636,0.620904843140139,1,0.41838417565729,1,0.362955793746068,1.01682687268862,14
"17",1.4e+07,0.3251805201673,0.3251805201673,0.30777078025095,0.34259026008365,0.297324936301139,0.35303610403346,0.293842988317869,0.35651805201673,2
"18",1.5e+07,0.485294117647059,0.50056034121857,0.303636813823889,0.585855531722468,0.241793808147499,0.845332230972835,0.24,1,26
"19",16500000,0.0524786324786325,0.0524786324786325,0.0524786324786325,0.0524786324786325,0.0524786324786325,0.0524786324786325,0.0524786324786325,0.0524786324786325,1
"20",17500000,0.360366511972201,0.383670811308535,0.283361379002572,0.451969525679709,0.243173420480962,0.553071315385997,0.213952998285802,0.662837856693423,90
"21",2e+07,0.398803728813559,0.452428110608496,0.235784364883831,0.619914161634118,0.176991150442478,0.769467019467019,0.134174172451747,0.977202928071292,31
"22",22500000,0.45,0.410984687720118,0.264059470828835,0.518087296775617,0.132952621359223,0.640687320885772,0.115899704419315,0.705265089014315,11
"23",2.5e+07,0.281796989591713,0.373456754176167,0.144392831410301,0.411624186661071,0.125,0.957045321834434,0.113464004020884,1,12
"24",26500000,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1
"25",27500000,0.396320250306025,0.426662127684778,0.312888888888889,0.606455555555556,0.235748148148148,0.622577195833682,0.210034567901235,0.627951075926391,5
"26",2.8e+07,0.0484333333333333,0.0484333333333333,0.0484333333333333,0.0484333333333333,0.0484333333333333,0.0484333333333333,0.0484333333333333,0.0484333333333333,1
"27",3e+07,0.238476953907816,0.303163169244277,0.160039473658505,0.338485878336437,0.132061462932758,0.57207987125895,0.120458723393347,0.681533283386068,15
"28",31250000,0.444509753499137,0.444509753499137,0.444509753499137,0.444509753499137,0.444509753499137,0.444509753499137,0.444509753499137,0.444509753499137,1
"29",32500000,0.17955461277833,0.199986948520914,0.127578462460358,0.280211117567306,0.0887216398715437,0.325619766643789,0.0824192219047196,0.360483461113925,32
"30",3.5e+07,0.194764498074695,0.24673166840108,0.148875848061897,0.265793577392421,0.0995282150971133,0.479013425925926,0.0841353512279609,0.530604013229474,14
"31",37500000,0.18119851638154,0.222440945690904,0.148769288775184,0.240739682539683,0.113842771575774,0.374873932652981,0.0922563376845236,0.454571876828163,58
"32",4e+07,0.203255953413097,0.224594717074274,0.152489177889254,0.264,0.0922998757131178,0.376232867883996,0.0722367749877391,0.413643823845328,5
"33",40500000,0.0365555555555556,0.0365555555555556,0.0365555555555556,0.0365555555555556,0.0365555555555556,0.0365555555555556,0.0365555555555556,0.0365555555555556,1
"34",41500000,0.130666666666667,0.130666666666667,0.130666666666667,0.130666666666667,0.130666666666667,0.130666666666667,0.130666666666667,0.130666666666667,1
"35",42500000,0.182542867273332,0.231989026114571,0.130669858067948,0.29226500560818,0.106027845568915,0.422777323338804,0.092079077783566,0.469693591490753,14
"36",43750000,0.444509753499137,0.444509753499137,0.444509753499137,0.444509753499137,0.444509753499137,0.444509753499137,0.444509753499137,0.444509753499137,1
"37",4.5e+07,0.124284147678811,0.157449292078819,0.0853636172531325,0.199287220233723,0.0667709658190177,0.270070693205216,0.060985283216757,0.278398623634738,23
"38",47500000,0.149256832762896,0.155668463597547,0.103337037037037,0.174332656514382,0.0687378640776699,0.206,0.0583696953611955,0.311703703703704,11
"39",5e+07,0.161037037037037,0.268047587218487,0.090078431372549,0.241902938706969,0.0513333333333333,0.573803526448363,0.0513333333333333,0.786901763224181,7
"40",52500000,0.120484736534479,0.17882460550288,0.103074056798554,0.241399393383893,0.0880275389129598,0.358716066180782,0.0712164166693343,0.36555692197928,8
"41",5.5e+07,0.163186185487,0.151281438775952,0.125895091473566,0.169366666666667,0.0963817830992349,0.194276347741622,0.0871268977176976,0.206414521612433,6
"42",56500000,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,1
"43",57500000,0.108921304759193,0.166278331764273,0.0706932134930889,0.2508,0.0449446871029489,0.375563398353852,0.0423227475045902,0.414420150972486,17
"44",6e+07,0.179822694822905,0.200704631752487,0.14585396039604,0.215650378317118,0.136360592627572,0.285558817993514,0.13319613670475,0.308861631218979,5
"45",62500000,0.105225919069682,0.146198724703665,0.0841825423563338,0.146070991453665,0.0619957099818038,0.274658760189233,0.0521265234425177,0.32743809624187,48
"46",6.5e+07,0.110295891707817,0.118720900608781,0.0753700191570881,0.158109243697479,0.0582946581728199,0.177431021514277,0.0537397897334694,0.191018993532338,7
"47",66250000,0.307817777777778,0.307817777777778,0.307817777777778,0.307817777777778,0.307817777777778,0.307817777777778,0.307817777777778,0.307817777777778,1
"48",67500000,0.0848946078431373,0.107928163306304,0.0668850833905247,0.154608153616463,0.0482823051317614,0.18991210957527,0.0464712496532594,0.205536602663986,10
"49",7e+07,0.101181818181818,0.108959068488679,0.08025,0.155276561795192,0.0415863436166369,0.165597419747666,0.0406468813172004,0.17311140856177,9
"50",71500000,0.0693333333333333,0.0693333333333333,0.0693333333333333,0.0693333333333333,0.0693333333333333,0.0693333333333333,0.0693333333333333,0.0693333333333333,1
"51",72500000,0.120596712533616,0.149591030469034,0.0743267942000731,0.18141935483871,0.0671565365881351,0.258109297491039,0.0647664507174891,0.283672611708483,5
"52",7.3e+07,0.0176993777777778,0.0176993777777778,0.0176993777777778,0.0176993777777778,0.0176993777777778,0.0176993777777778,0.0176993777777778,0.0176993777777778,1
"53",73088500,0.150431323573626,0.150431323573626,0.150431323573626,0.150431323573626,0.150431323573626,0.150431323573626,0.150431323573626,0.150431323573626,1
"54",7.5e+07,0.107094066393109,0.114916335430339,0.0765396571930041,0.150981272393967,0.0325322817552625,0.186156405508139,0.0324903296681917,0.217043592030758,10
"55",77500000,0.0900937843152765,0.15349384539337,0.0509094586369192,0.262863185555703,0.0265555555555556,0.359996307692308,0.0265555555555556,0.389998153846154,10
"56",78750000,0.375712542580942,0.375712542580942,0.375712542580942,0.375712542580942,0.375712542580942,0.375712542580942,0.375712542580942,0.375712542580942,1
"57",8e+07,0.0981536,0.109337165555115,0.0873108265424913,0.110901220283094,0.0709243306169965,0.15855259668323,0.0654621653084983,0.174436388816609,5
"58",82500000,0.101434471314672,0.110774164280091,0.0856891915818501,0.126519444012913,0.0676790697625135,0.161341013170003,0.0616756958227347,0.172948202889034,4
"59",8.5e+07,0.0811436514131845,0.241625222849353,0.0395389885278674,0.253630563083409,0.0239008600814726,0.561527407407408,0.0238973326956035,0.780763703703703,7
"60",87500000,0.0649823306845811,0.0874049438922007,0.0463062631105784,0.109659116906886,0.0356950353843661,0.164780209963779,0.0312540179417729,0.208778736819449,44
"61",8.9e+07,0.06262,0.06262,0.06262,0.06262,0.06262,0.06262,0.06262,0.06262,1
"62",9e+07,0.0682344340197392,0.0817275638818435,0.0664701581863402,0.0902384046462947,0.0654115926863008,0.103440787022228,0.065058737519621,0.107841581147539,3
"63",92500000,0.0611089258976879,0.0856820403054853,0.0355407407407407,0.155019355103979,0.0133333333333333,0.171240926664991,0.0133333333333333,0.172315129999162,8
"64",93750000,0.361447905477981,0.361447905477981,0.361447905477981,0.361447905477981,0.361447905477981,0.361447905477981,0.361447905477981,0.361447905477981,1
"65",9.5e+07,0.0812849162011173,0.113549866697737,0.0713344466232471,0.129029397064871,0.0601718187065172,0.198252061557631,0.0582990128015345,0.227331158983944,7
"66",96250000,0.268286913580247,0.268286913580247,0.268286913580247,0.268286913580247,0.268286913580247,0.268286913580247,0.268286913580247,0.268286913580247,1
"67",97500000,0.040736923215483,0.0442319041670519,0.04,0.0428317705281656,0.0396057363145721,0.0520814681516608,0.0394743150860961,0.0551647006928258,5
"68",1e+08,0.27711824734585,0.27711824734585,0.27711824734585,0.27711824734585,0.27711824734585,0.27711824734585,0.27711824734585,0.27711824734585,1
"69",102500000,0.101935483870968,0.101935483870968,0.101935483870968,0.101935483870968,0.101935483870968,0.101935483870968,0.101935483870968,0.101935483870968,1
"70",1.05e+08,0.0427586206896552,0.0427586206896552,0.0427586206896552,0.0427586206896552,0.0427586206896552,0.0427586206896552,0.0427586206896552,0.0427586206896552,1
"71",107500000,0.121651433510636,0.121651433510636,0.0800381258757109,0.163264741145562,0.0550701412947555,0.188232725726518,0.0467474797677703,0.196555387253503,2
"72",1.1e+08,0.0989972787158475,0.0989972787158475,0.0807112646084248,0.11728329282327,0.0697396561439711,0.128254901287724,0.0660824533224866,0.131912104109209,2
"73",112500000,0.0616226001367186,0.0702447329334333,0.0369627029872682,0.0686961544498058,0.0271220355464319,0.0802911608779559,0.0217416653166585,0.132553487146437,18
"74",117500000,0.0395402298850575,0.0525269579240118,0.0392248368860177,0.0593357149425287,0.0390356010865938,0.0712130059770115,0.0389725224867859,0.0751721029885057,3
"75",1.2e+08,0.100426829268293,0.100426829268293,0.0677134146341463,0.133140243902439,0.0480853658536586,0.152768292682927,0.0415426829268293,0.159310975609756,2
"76",122500000,0.237529926296443,0.237529926296443,0.237529926296443,0.237529926296443,0.237529926296443,0.237529926296443,0.237529926296443,0.237529926296443,1
"77",1.25e+08,0.0965076991486213,0.103929519224653,0.0846474419610387,0.115789776412235,0.0731494769915154,0.140647017518615,0.0693168220016742,0.148932764554075,4
"78",127500000,0.0475718294405255,0.0475718294405255,0.0475718294405255,0.0475718294405255,0.0475718294405255,0.0475718294405255,0.0475718294405255,0.0475718294405255,1
"79",1.3e+08,0.168581003343613,0.168581003343613,0.123329614575032,0.213832392112193,0.0961787813138838,0.240983225373341,0.0871285035601677,0.250033503127057,2
"80",132500000,0.0340583616225141,0.0340583616225141,0.0340583616225141,0.0340583616225141,0.0340583616225141,0.0340583616225141,0.0340583616225141,0.0340583616225141,1
"81",1.35e+08,0.0378089512358049,0.0378089512358049,0.0378089512358049,0.0378089512358049,0.0378089512358049,0.0378089512358049,0.0378089512358049,0.0378089512358049,1
"82",137500000,0.0544,0.0595645352084366,0.0339609514168211,0.0629485451712777,0.0310205654105743,0.093558640910274,0.0303882175156871,0.116267762286166,7
"83",1.4e+08,0.04765,0.04765,0.036125,0.059175,0.02921,0.06609,0.026905,0.068395,2
"84",142500000,0.141652251564587,0.141652251564587,0.0861748793160896,0.197129623813085,0.052888455966991,0.230416047162183,0.0417929815172914,0.241511521611883,2
"85",1.45e+08,0.0534053333333333,0.0534053333333333,0.0534053333333333,0.0534053333333333,0.0534053333333333,0.0534053333333333,0.0534053333333333,0.0534053333333333,1
"86",147500000,0.15930496103936,0.15930496103936,0.139986638935521,0.178623283143198,0.128395645673218,0.190214276405501,0.124531981252451,0.194077940826268,2
"87",1.5e+08,0.0880847311827957,0.0880847311827957,0.0880847311827957,0.0880847311827957,0.0880847311827957,0.0880847311827957,0.0880847311827957,0.0880847311827957,1
"88",157500000,0.0334344827586207,0.0334344827586207,0.0334344827586207,0.0334344827586207,0.0334344827586207,0.0334344827586207,0.0334344827586207,0.0334344827586207,1
"89",162500000,0.0434098419060343,0.0435830993978483,0.0313740174601215,0.0569104888888889,0.0261637659649301,0.0611756903225806,0.0236736586833996,0.062949135483871,6
"90",1.7e+08,0.0285434185050597,0.0285434185050597,0.0272978863782792,0.0297889506318402,0.0265505671022109,0.0305362699079085,0.0263014606768548,0.0307853763332646,2
"91",172500000,0.0493333333333333,0.0493333333333333,0.0493333333333333,0.0493333333333333,0.0493333333333333,0.0493333333333333,0.0493333333333333,0.0493333333333333,1
"92",1.75e+08,0.123758651005621,0.132572141921028,0.0757929497236474,0.184944588660705,0.0470135289544634,0.221656151253756,0.0374203886980688,0.233893338784773,3
"93",1.8e+08,0.108892326732673,0.108892326732673,0.108892326732673,0.108892326732673,0.108892326732673,0.108892326732673,0.108892326732673,0.108892326732673,1
"94",187500000,0.0373946360153257,0.0395990850562402,0.0288477425769422,0.0481459784946237,0.0261529895602657,0.0548087397849462,0.0252547385547069,0.0570296602150538,4
"95",1.95e+08,0.0238146543960503,0.0238146543960503,0.0238146543960503,0.0238146543960503,0.0238146543960503,0.0238146543960503,0.0238146543960503,0.0238146543960503,1
"96",212500000,0.0582293333333333,0.0582293333333333,0.0582293333333333,0.0582293333333333,0.0582293333333333,0.0582293333333333,0.0582293333333333,0.0582293333333333,1
